week;weekday;hour;mbits
2nd_week;friday;8;413,6
2nd_week;friday;9;1976,5
2nd_week;friday;10;699,1
2nd_week;friday;11;1929,7
2nd_week;friday;12;2341,2
2nd_week;friday;13;400,3
2nd_week;friday;14;507,9
2nd_week;friday;15;2390,3
2nd_week;friday;16;209,9
2nd_week;friday;17;1079,4
2nd_week;friday;18;1990,6
2nd_week;friday;19;731,8
2nd_week;friday;20;2826,2
2nd_week;friday;21;596,9
2nd_week;friday;22;1481,4
2nd_week;friday;23;645,3
2nd_week;saturday;0;15,3
2nd_week;saturday;1;21,1
2nd_week;saturday;2;32
2nd_week;saturday;3;71,5
2nd_week;saturday;4;1,4
2nd_week;saturday;5;40,1
2nd_week;saturday;6;4,6
2nd_week;saturday;7;161,3
2nd_week;saturday;8;428,4
2nd_week;saturday;9;1281,6
2nd_week;saturday;10;2048,9
2nd_week;saturday;11;1167,9
2nd_week;saturday;12;1681,2
2nd_week;saturday;13;1028,2
2nd_week;saturday;14;521,3
2nd_week;saturday;15;1196,7
2nd_week;saturday;16;1644,8
2nd_week;saturday;17;85
2nd_week;saturday;18;55,8
2nd_week;saturday;19;240,4
2nd_week;saturday;20;803,4
2nd_week;saturday;21;561,4
2nd_week;saturday;22;89,6
2nd_week;saturday;23;921,3
3nd_week;sunday;0;20,3
3nd_week;sunday;1;56,2
3nd_week;sunday;2;55,7
3nd_week;sunday;3;19,7
3nd_week;sunday;4;67,8
3nd_week;sunday;5;20,2
3nd_week;sunday;6;19,9
3nd_week;sunday;7;200,5
3nd_week;sunday;8;536
3nd_week;sunday;9;58,8
3nd_week;sunday;10;343,2
3nd_week;sunday;11;453,8
3nd_week;sunday;12;187,7
3nd_week;sunday;13;41,6
3nd_week;sunday;14;53,7
3nd_week;sunday;15;72,1
3nd_week;sunday;16;219,1
3nd_week;sunday;17;747,8
3nd_week;sunday;18;358,6
3nd_week;sunday;19;265,7
3nd_week;sunday;20;450,6
3nd_week;sunday;21;26,1
3nd_week;sunday;22;186,2
3nd_week;sunday;23;20,4
3nd_week;monday;0;123,4
3nd_week;monday;1;0,8
3nd_week;monday;2;56,9
3nd_week;monday;3;16,1
3nd_week;monday;4;6,3
3nd_week;monday;5;17,1
3nd_week;monday;6;134,5
3nd_week;monday;7;300,8
3nd_week;monday;8;1971,5
3nd_week;monday;9;2821,5
3nd_week;monday;10;1165,8
3nd_week;monday;11;1207,8
3nd_week;monday;12;583,9
3nd_week;monday;13;638,4
3nd_week;monday;14;176,9
3nd_week;monday;15;1793,3
3nd_week;monday;16;1624
3nd_week;monday;17;432,9
3nd_week;monday;18;1063,6
3nd_week;monday;19;228,4
3nd_week;monday;20;262,4
3nd_week;monday;21;1300,1
3nd_week;monday;22;3627
3nd_week;monday;23;325,1
3nd_week;tuesday;0;72,8
3nd_week;tuesday;1;2,6
3nd_week;tuesday;2;28,4
3nd_week;tuesday;3;5,1
3nd_week;tuesday;4;63,5
3nd_week;tuesday;5;31,2
3nd_week;tuesday;6;61,8
3nd_week;tuesday;7;104
3nd_week;tuesday;8;136,8
3nd_week;tuesday;9;1199,3
3nd_week;tuesday;10;2642,1
3nd_week;tuesday;11;1599
3nd_week;tuesday;12;317,1
3nd_week;tuesday;13;2508,4
3nd_week;tuesday;14;2514,9
3nd_week;tuesday;15;367,8
3nd_week;tuesday;16;147,5
3nd_week;tuesday;17;998,6
3nd_week;tuesday;18;368,6
3nd_week;tuesday;19;93,7
3nd_week;tuesday;20;1970,9
3nd_week;tuesday;21;91,8
3nd_week;tuesday;22;759
3nd_week;tuesday;23;296,9
3nd_week;wednesday;0;1,2
3nd_week;wednesday;1;57,9
3nd_week;wednesday;2;26,9
3nd_week;wednesday;3;40,5
3nd_week;wednesday;4;42,9
3nd_week;wednesday;5;86,6
3nd_week;wednesday;6;24
3nd_week;wednesday;7;970,4
3nd_week;wednesday;8;228,6
3nd_week;wednesday;9;1063,6
3nd_week;wednesday;10;579,3
3nd_week;wednesday;11;929,7
3nd_week;wednesday;12;280,1
3nd_week;wednesday;13;831,1
3nd_week;wednesday;14;453,4
3nd_week;wednesday;15;823,6
3nd_week;wednesday;16;1754,4
3nd_week;wednesday;17;1432,5
3nd_week;wednesday;18;727,7
3nd_week;wednesday;19;1893,3
3nd_week;wednesday;20;1558
3nd_week;wednesday;21;66,6
3nd_week;wednesday;22;2640,3
3nd_week;wednesday;23;422,4
3nd_week;thursday;0;588,5
3nd_week;thursday;1;408,1
3nd_week;thursday;2;236,5
3nd_week;thursday;3;397
3nd_week;thursday;4;261,5
3nd_week;thursday;5;176,1
3nd_week;thursday;6;181,6
3nd_week;thursday;7;224,9
3nd_week;thursday;8;219,3
3nd_week;thursday;9;22
3nd_week;thursday;10;33,8
3nd_week;thursday;11;97,6
3nd_week;thursday;12;29,5
3nd_week;thursday;13;60,3
